"-", "Sat Apr 18 23:49:38 PDT 2009", "georgewpb", "Lost money tonight  support your local bartender!!"
"-", "Sat Apr 18 23:50:14 PDT 2009", "katewilson5", "I'm in the last hours of my three weeks holidays... back to work tomorrow "
"-", "Sat Apr 18 23:53:12 PDT 2009", "Stjarna1", "Cleaning my room/packing but UGG! My ankle is KILLING me "
"-", "Sat Apr 18 23:54:18 PDT 2009", "KellzMelis", "@mileycyrus http://twitpic.com/3goxn - WOAH! i can c y. I don't blame u. i would hate not having a private life "
"-", "Sun Apr 19 00:04:20 PDT 2009", "BARFerley", "dudde, i hope im not comning down with something. "
"-", "Sun Apr 19 00:12:07 PDT 2009", "Katelynnjanet", "@meaganfegan ya me too  the machine didn't even give me a number. And now I'm on pills "
"-", "Sun Apr 19 00:23:23 PDT 2009", "MrsRedmond", "@Willie_Day26 oh, and i appreciate yall doing shows in the sipp... I'ma a sippi girl for life.. too bad i couldn't be there "
"-", "Sun Apr 19 00:24:35 PDT 2009", "Jimmy_Jojo", "@chikimou I dunno, but I miss them already  Hope you're feeling better chiki"
"-", "Sun Apr 19 00:26:17 PDT 2009", "LBad", "finally went out. kind of lame but we made it fun. ouch paper time "
"-", "Sun Apr 19 00:34:48 PDT 2009", "ShaihuludWorm", "I shall be sad to leave my uncle's cats though, insha'Allah. They are both so cute "
"-", "Sun Apr 19 00:40:01 PDT 2009", "nuttyeeyore", "is now going to bed. have to get up in 5 hours! no make that 4 1/2 "
"-", "Sun Apr 19 00:41:25 PDT 2009", "moodiestprinces", "bored and missing my friends "
"-", "Sun Apr 19 00:45:26 PDT 2009", "brdgtprsns", "Just going to look for the paracetamol  it has been a while since I had a good nights sleep."
"-", "Sun Apr 19 00:45:54 PDT 2009", "neekiteeta", "says So many things to do, So little time!  http://plurk.com/p/oy7sc"
"-", "Sun Apr 19 00:52:37 PDT 2009", "Rochelleelise", "On my way to the fitting. Argh i'm tired and I don't feel well "
"-", "Sun Apr 19 01:01:19 PDT 2009", "elliehartmann", "@carneymusic fantastic show! love you guys! looking forward to the LP cos we missed out on getting an EP "
"-", "Sun Apr 19 01:05:57 PDT 2009", "HilaryKaplan", "I have some serious bloggin to do... im in JUST that mood. What the hell. "
"-", "Sun Apr 19 01:07:03 PDT 2009", "Lee_Knight", "can't believe it, that's four in a row, we lost again! by eight. i want to cry "
"-", "Sun Apr 19 01:45:10 PDT 2009", "ashleyxbrooke", "@ZROGST I miss you "
"-", "Sun Apr 19 01:50:01 PDT 2009", "SarahSaner", "@tradingnothing Lol My fella bought me a spacehopper 2 years ago! Mr Hoppy I miss him so so much! Think he is in shed now!  x"
"-", "Sun Apr 19 01:51:44 PDT 2009", "m_dubb", "ears ringing, eyeballs hurt, smell like man sweat, knee joints giving in; got back from a7x concert.  didn't wanna leave."
"-", "Sun Apr 19 02:04:14 PDT 2009", "gita_m", "My broadband is so slow today "
"-", "Sun Apr 19 02:15:12 PDT 2009", "snxy", "@whitespot55 26 ODs from GHB forced the police to close the venue halfway through tyDi's closing set!!   #asot400"
"-", "Sun Apr 19 02:28:24 PDT 2009", "Prayter", "it's already 2:22 am here, I need to sleep now for tomorrow's worship. I'm still sick  Pls pray for me.: it's .. http://bit.ly/m8UKS"
"-", "Sun Apr 19 02:38:08 PDT 2009", "joangillen", "i agree with everyone... its ridiculously hot outside. "
"-", "Sun Apr 19 02:38:10 PDT 2009", "sebby_peek", "@amazingphoebe if what had been said in that text message didn't bother me, you'd think i didn't care, true? "
"-", "Sun Apr 19 02:38:36 PDT 2009", "jackcrute", "@roserogue I know "
"-", "Sun Apr 19 02:45:04 PDT 2009", "thefirstsight", "@OnTimeToday I miss you "
"-", "Sun Apr 19 02:58:22 PDT 2009", "JKLady", "I think, hes gone "
"-", "Sun Apr 19 03:04:36 PDT 2009", "Tricia_PsGuard", "FYI... last time i went to the park i sat in the baby swing.. and i really did get stuck. "
"-", "Sun Apr 19 03:06:15 PDT 2009", "rocishot", "@JessTheBestDuuh whaaaaaat??? omg ive been missing out   i def need sum time with the girls  LETS HAAANG!!"
"-", "Sun Apr 19 03:12:53 PDT 2009", "Aamann", "My email system was hacked and lots of my contacts have received email from an Indian web community "
"-", "Sun Apr 19 03:20:21 PDT 2009", "ChrisMoody", "So many ideas on my brain I can't sleep "
"-", "Sun Apr 19 03:27:33 PDT 2009", "sweetdreamer", "@vharte yeah, sorry hun, that's a def. &quot;NO&quot; for me... "
"-", "Sun Apr 19 03:30:04 PDT 2009", "DianneMcA", "@HiToYou  LOL she might be. I'll go see her later on. between us we are watching my sis parrot while she away, shud be fun "
"-", "Sun Apr 19 03:48:44 PDT 2009", "dessey", "@hasief re life expectancy. Yeah, whereas those we'd still very much love to see were already called long before the statistics age "
"-", "Sun Apr 19 03:55:43 PDT 2009", "chelsiebabez", "@tommcfly My mum cba to make 1 for me   X"
"-", "Sun Apr 19 03:56:08 PDT 2009", "cacofnix", "@nithinkd and we thought, nevermind we would see all the matches in delhi next year "
"-", "Sun Apr 19 04:00:07 PDT 2009", "tweetpet", "@reatlas  hungry!"
"-", "Sun Apr 19 04:11:26 PDT 2009", "Tarree", "Here on the home front, my net is as slow as pouring molasses at the north pole in a white out blizzard!! And it's cable DSL! "
"-", "Sun Apr 19 04:11:36 PDT 2009", "suriati", "@yusnizam dreading monday.. haih..what a life if your paycheck is depending on others "
"-", "Sun Apr 19 04:16:21 PDT 2009", "njirlandez", "miss my bestfriends!!!  i wish i could see them again! but i can't i'm stuck here at school!!!!!"
"-", "Sun Apr 19 04:22:44 PDT 2009", "spiri", "@greew That sucks  But good to know it's not just me"
"-", "Sun Apr 19 04:37:19 PDT 2009", "TightyLiberace", "And I can't sleep again "
"-", "Sun Apr 19 04:42:33 PDT 2009", "xHollyPopx", "Is Happy. School Tomorrow Tho "
"-", "Sun Apr 19 04:43:30 PDT 2009", "styleforfreecom", "@JudyReppart I heard your hubby laughing all the way from Vegas.  One of the most wretched beatings ever  "
"-", "Sun Apr 19 04:51:28 PDT 2009", "GiiAN77", "@studiojunkies recoverin from a cold  .. how u bn"
"-", "Sun Apr 19 04:54:02 PDT 2009", "cartoonmoney", "Egad, Deadpool, what ever have they done to you?!? "
"-", "Sun Apr 19 05:02:08 PDT 2009", "kjayersj5", "Can't sleep. Still dark out. Getting up anyway. Tweeting in mini sentences. Josh Rouse songs stuck in head. None of them are on my ipod. "
"-", "Sun Apr 19 05:08:39 PDT 2009", "rathoggie", "It's raining in paradise "
"-", "Sun Apr 19 05:15:57 PDT 2009", "helenaanneh", "@maliajonas thankyou. I know "
"-", "Sun Apr 19 05:19:23 PDT 2009", "josepicardo", "The excitement I felt a couple of days ago has waned. Today, with the sun shining, I can't get used to the fact holidays end today "
"-", "Sun Apr 19 05:26:21 PDT 2009", "lukeanderson", "@leydon There are ads in this "
"-", "Sun Apr 19 05:48:08 PDT 2009", "aussiecynic", "@RPattz4_DEJA I am sitting here with the whole world at my finger tips and cant think of anything to do...lol.. thats sad "
"-", "Sun Apr 19 05:49:08 PDT 2009", "abilovesjesus", "has burnt legs. "
"-", "Sun Apr 19 05:51:58 PDT 2009", "hopoffthis", "had to work yesterday didnt tweet "
"-", "Sun Apr 19 05:58:48 PDT 2009", "kyoisorange", "@laurzzzz Well. I had to get up at 12. My mumma woke me up. "
"-", "Sun Apr 19 06:07:16 PDT 2009", "andylopata", "A beautiful Sunday afternoon......good matches on the telly.....time to work "
"-", "Sun Apr 19 06:17:42 PDT 2009", "vallemouse", "I Hate This Part Right Hier "
"-", "Sun Apr 19 06:22:44 PDT 2009", "LooveTwilight", "@nickylaa  I have a verly long day tomorrow "
"-", "Sun Apr 19 06:27:17 PDT 2009", "ABeautifulMind1", "Emergency  I think my laptop has died. It is my only source of life "
"-", "Sun Apr 19 06:29:34 PDT 2009", "amazingphoebe", "@sebby_peek true  i hate fighting with you "
"-", "Sun Apr 19 06:37:59 PDT 2009", "Jammers", "The zip is broken on my wallet. I need a new one. Ferrari don't sell that type any more though "
"-", "Sun Apr 19 06:43:11 PDT 2009", "jenns1125", "Another day of studying. I want to go outside and play.  It will be worth it in the end."
"-", "Sun Apr 19 06:44:14 PDT 2009", "AnoukAgterberg", "need to make a bookreport but it sucks  roawr to the cowcat who bit me :O"
"-", "Sun Apr 19 06:49:25 PDT 2009", "katiefileccio", "Poor communication... Not riding today.. Couldn't be more upset  this weekend is not making me happy"
"-", "Sun Apr 19 06:52:44 PDT 2009", "JodyThompson", "@stephenfry Don't, I can't bear it. Poor Brian Gunn "
"-", "Sun Apr 19 06:54:41 PDT 2009", "MrsMessiness", "@lettergirl Your eyeballs will thank you. "
"-", "Sun Apr 19 07:02:47 PDT 2009", "blueyedhannah", "@woodland_faerie Ummm I just realized I haven't recieved a text since I got the new phone. No one has gotten any of mine either. Ugh. "
"-", "Sun Apr 19 07:13:03 PDT 2009", "RachelGreenhill", "okay that failed  cont. and i'm not very presntable and i just want to get on with c/w =/"
"-", "Sun Apr 19 07:14:26 PDT 2009", "sambam87", "Working out then tanning. It seems a tad gloomy today. "
"-", "Sun Apr 19 07:17:25 PDT 2009", "MissKeks", "And I ran away.  Can't anyone make it go away?"
"-", "Sun Apr 19 07:17:28 PDT 2009", "Alicia_vintage", "So much work to do... "
"-", "Sun Apr 19 07:22:31 PDT 2009", "adamsandlerfan", "creed is awsome  the yankees lost last night "
"-", "Sun Apr 19 07:24:53 PDT 2009", "ALEGEND", "Tried to get the &quot;Kill Bill&quot; song stuck in @courtneyruthven's head and failed  Woe is me."
"-", "Sun Apr 19 07:34:56 PDT 2009", "ohmackeral", "@LeahRuth aww bb that's not fun  if it helps i totally had one this weekend, woo yay ;)"
"-", "Sun Apr 19 07:42:51 PDT 2009", "barryoneill", "back to london "
"-", "Sun Apr 19 07:43:12 PDT 2009", "SabrinaOnAir", "@TokyoDriftMovie Oh really?It is the warehouse?How cool is that? just love the movie. It's so awesome.Wish I had only one car of these "
"-", "Sun Apr 19 07:48:18 PDT 2009", "gniyiew", "Nervous tmr's first day of school  - http://tweet.sg"
"-", "Sun Apr 19 07:49:50 PDT 2009", "kevt", "watching the race has me wanting to go back to Shanghai "
"-", "Sun Apr 19 07:53:55 PDT 2009", "lilschoon2792", "@MissLDN aaaahhhh i missed it! "
"-", "Sun Apr 19 07:54:00 PDT 2009", "milliemagsaysay", "Is being forced to apply the Spanish she's been learning in school. No me gusta!  No comprendo espanol cuando yo escucho espanol."
"-", "Sun Apr 19 07:59:28 PDT 2009", "piajimenez", "@lykabonifacio Love Maxxie &amp; everyone else! I wish they were still in the series "
"-", "Sun Apr 19 08:08:20 PDT 2009", "foxymoron", "@RyTron They're playing tonight at the Tranzac, opening for a band. Cover is $20 tho "
"-", "Sun Apr 19 08:14:52 PDT 2009", "minoudenuit", "yesterday was waaaay too much fun! now my legs and arms are killing me "
"-", "Sun Apr 19 08:18:01 PDT 2009", "SalinaFu", "Completely exhausted from playing rock band all day yesterday. NOW I HAVE TO FINISH MY LARGE PILE OF HW "
"-", "Sun Apr 19 08:18:21 PDT 2009", "poppyeliza", "struggling with art "
"-", "Sun Apr 19 08:30:08 PDT 2009", "kevkev74", "doesn't understand twittering? "
"-", "Sun Apr 19 08:34:57 PDT 2009", "Oysterblues", "ok now I think there's a cat fight out there   Stupid animals I wanted to sleep in."
"-", "Sun Apr 19 08:44:25 PDT 2009", "ideamonk", "got 9 hrs to prepare for labs "
"-", "Sun Apr 19 08:48:38 PDT 2009", "peteypatriot", "debating the Taste of Forsyth activity.  Rain is predicted for all afternoon. "
"-", "Sun Apr 19 08:50:16 PDT 2009", "ohkirby", "@lovebugstudios Oh I've heard about Little Dorrit! Unfortunately my local PBS station has not digitally converted so I can't see it. "
"-", "Sun Apr 19 08:55:09 PDT 2009", "LoveYouCuddles", "ANOTHER beautiful day outside and I'm stuck inside.  Still writing essays. Went outside to sunshine 4 a few minutes --&gt; motivation's back!"
"-", "Sun Apr 19 08:59:39 PDT 2009", "andystew", "Watching peacocks in our garden, camera set to video and missed great pic opportunity "
"-", "Sun Apr 19 09:08:46 PDT 2009", "maddy83", "andrew just left back to San Jose.. "
"-", "Sun Apr 19 09:23:42 PDT 2009", "iwkid", "@ToddKlindt Good deal!  I've been slacking on game time lately    You play Halo 3 at all?"
"-", "Sun Apr 19 09:28:50 PDT 2009", "catharinamcfly", "@MCFLYFREAK Next time you will definitely be there with me. For sure! And I wrote it on my card.. bcause I spilled coffee over my banner "
"-", "Sun Apr 19 09:54:06 PDT 2009", "bleung", "Going back to Portland tonight to an empty home  No boo, no dogs. Sadness."
"-", "Sun Apr 19 10:00:10 PDT 2009", "tweetpet", "@adlantis  Clean Me!"
"-", "Sun Apr 19 10:03:41 PDT 2009", "_xotashhh", "@iero_xxi its okay, l'oreal are shit. im allergic to them  the bastards! hahahaha"
"-", "Sun Apr 19 10:04:11 PDT 2009", "nitabhi85", "OR paper tomorrow, Lots of things still out of focus for me . God help me in paper . Bless me good luck "
"-", "Sun Apr 19 10:04:52 PDT 2009", "MelOhSoRetro", "@TheRealPratt oh.. damn  lol who you thought I was?"
"-", "Sun Apr 19 10:08:55 PDT 2009", "Rachelleigh06", "workin on my english research paper "
"-", "Sun Apr 19 10:09:39 PDT 2009", "patr_ick", "is not so happy spring break is already just about over.  "
"-", "Sun Apr 19 10:10:18 PDT 2009", "rmilesson", "There isn't gonna be any nice game of Age of Empires "
"-", "Sun Apr 19 10:10:26 PDT 2009", "classic_lbd", "Got to uni, only to find my room internet connection doesnt work and I have left my I pod 50 miles away at home "
"-", "Sun Apr 19 10:14:39 PDT 2009", "the_HealthPages", "Hubby just got out vacuum, sign I'm not a good housekeeper. "
"-", "Sun Apr 19 10:25:29 PDT 2009", "ebrndmz", "Relaxing and having fun with friends with a few drinks fun, next day if you are not careful not so fun! "
"-", "Sun Apr 19 10:29:01 PDT 2009", "VITOORDIE", "Blackberry bout to die  still @ the hard rock doing documentary shit!!"
"-", "Sun Apr 19 10:29:53 PDT 2009", "SenorGrizzle", "back to school, exams and the like "
"-", "Sun Apr 19 10:35:01 PDT 2009", "AliciaJohns", "Argh dramarama essay - still not completed "
"-", "Sun Apr 19 10:35:20 PDT 2009", "colin0422", "@kathrrrynnn yeah i think so  ahhhhhh"
"-", "Sun Apr 19 10:35:37 PDT 2009", "gbr4k", "@robbiechampion that's always a tough decision.  I'm stuck with either Panera Bread, or Maggianos. Ugh, decisions decisions decisions..lol"
"-", "Sun Apr 19 10:45:10 PDT 2009", "slipknotchik91", "hurt my back "
"-", "Sun Apr 19 10:50:42 PDT 2009", "rxoxo", "@Yunzong we all wish it won't ever stop  #asot400"
"-", "Sun Apr 19 10:54:54 PDT 2009", "700stories", "I just had to convince myself not to take a free Bausch &amp; Lomb microscope from Freecycle. WANT. but do NOT need.  I miss biology class."
"-", "Sun Apr 19 11:05:16 PDT 2009", "zenjar", "Why doesn't she love me ?  (via #zenjar )"
"-", "Sun Apr 19 11:15:49 PDT 2009", "Loochh", "@petewentz aries! i want my folks to let me go to cobra's gig in london next month "
"-", "Sun Apr 19 11:25:01 PDT 2009", "SSDMunich", "Y are weekends always this short?? "
"-", "Sun Apr 19 11:25:46 PDT 2009", "Bedlam0110", "Too hot today   even worse, im stuck at work.."
"-", "Sun Apr 19 11:30:48 PDT 2009", "HarperMD", "A little hungover. I drank so much water though "
"-", "Sun Apr 19 11:34:32 PDT 2009", "hannahbannanaX3", "Hey peoplez!!! I watched yes man and it was really BORING!!! talk about great latest moveis..... "
"-", "Sun Apr 19 11:34:33 PDT 2009", "pinkaddict86", "scratch that, it won't be in imax "
"-", "Sun Apr 19 11:34:59 PDT 2009", "allegedlyalex", "Is hating computer trouble "
"-", "Sun Apr 19 11:39:38 PDT 2009", "low78", "Watching ASAP on TFC &amp; all the songs r 'bout fire &amp; burnin'. How hot is it truly in the Phils? Oh wait, don't answer that. Me be jealous! "
"-", "Sun Apr 19 11:40:46 PDT 2009", "kientran", "Oy. Piano was tuned last week. Now it sounds terrible! "
"-", "Sun Apr 19 11:54:50 PDT 2009", "zestylime", "@orbitaldiamonds I'M BACK HOORAY---and no, well, i mean I do but it counts as texting so I don't, bc moneys "
"-", "Sun Apr 19 11:55:45 PDT 2009", "singitback82", "Cold one moment. Sweating the other. Feeling shabby. My stomach hurts (as usual) "
"-", "Sun Apr 19 11:59:54 PDT 2009", "TimmyGrunt", "@clivemessage  http://bit.ly/anQjU ACE prize winning FAN MADE vid for best single NOT  released in 2008. Please keep retweeting."
"-", "Sun Apr 19 12:04:54 PDT 2009", "jlb1113", "What does it take for talk shows to address a crippling disease which is being ignored by some Drs. and the CDC. Has a friend with Lyme "
"-", "Sun Apr 19 12:05:30 PDT 2009", "NDUBZFAN4EVA", "@x_katylewis_x lol yh  i go to bradford gals gramma skool www.bggs.com wat bout u?"
"-", "Sun Apr 19 12:09:34 PDT 2009", "TweetNewz", "Not for me  [[Satisfaction]: All topics for Twitter - Recently Created] http://bit.ly/9pzTC"
"-", "Sun Apr 19 12:15:10 PDT 2009", "furryvision", "Helped nick shave his head. Now im writing a tedious 10 page paper on Cuban diaspora in Miami. I just want to play WoW "
"-", "Sun Apr 19 12:15:18 PDT 2009", "HeathieH7", "TERRIBLE headache. Laying on the couch, listening to Mom, Maya and Mo do gardening stuff on the deck. Someone knock me out. "
"-", "Sun Apr 19 12:19:24 PDT 2009", "ImABadHabit", "@dajooles me tooooooooooooo i feel so bad!   just glad you werent speeding on the highway or nothing!"
"-", "Sun Apr 19 12:19:48 PDT 2009", "punkie331", "@Flyerscute  awwwwwwwww rest!!! im entertained! im heated but entertained"
"-", "Sun Apr 19 12:20:29 PDT 2009", "Hannenpan", "Fed the horses, now I need to do homework but I don't want to "
"-", "Sun Apr 19 12:21:01 PDT 2009", "canyousaylex", "homeee . great I have play practice every day thiss weeek "
